ReleaseSite,Latitude,Longitude,Year,SUM_Releases_in_millions
CRAWFISH INLET 113-33,56.771198,-135.137599,2020,26.506045
PORT ASUMCION,55.3738166,-133.5536414,2020,19.01
FRESHWATER BAY,57.933133,-135.1800125,2020,0
