AWC_CODE,StreamName,Shape_Leng,Latitude,Longitude
113-91-10060, ,856.0507435,57.83556366,-136.3931274
106-41-10150,*White Sox Creek,3278.006501,56.29252625,-133.1673889
112-65-10230-2002,Greens Creek,4061.220022,58.10051346,-134.7626495
114-21-10210, ,5022.340606,58.34404755,-136.6609039
107-30-10800,Brad Creek,3332.475967,56.20041275,-132.4977112
115-10-10460-2005, ,1431.56045,58.65388107,-135.2591705
115-34-10230,Taiya River,9317.022618,59.47989655,-135.3501434
101-90-10480,Loring Creek,1084.082156,55.60102463,-131.628067
113-95-10130, ,195.7650555,58.03130722,-136.3672485
101-11-10990,*Cannery Creek,2544.371962,54.94106293,-130.3380737
112-50-10300-2002,North Fork Freshwater Creek,2881.988246,57.94088745,-135.2256317
111-11-10200,Bear Creek,2451.5304,57.69492722,-134.0705261
103-60-10250,Lime Creek,2299.07865,55.62361145,-133.025177
103-25-10470-2003, ,1234.325976,55.17073822,-132.5720825
109-62-10380, ,722.204103,56.35892487,-134.2326508
110-34-10020, ,1304.874408,57.33626175,-133.3388062
107-20-10230, ,1372.715979,56.05020142,-132.2183838
111-35-10050-2032, ,302.3941887,58.16315079,-133.3115692
112-21-10040-2005, ,1387.518786,57.2596817,-134.9925842
113-59-10070-2011, ,250.9487783,57.54621124,-134.9983673
101-11-11010, ,10135.22803,55.02243423,-130.3223419
103-60-10290,Steelhead Creek,4982.731225,55.6319046,-132.9597168
103-60-10790, ,1012.418038,55.34469986,-132.9177856
101-71-10430,Manzanita Creek,798.1239628,55.5957489,-130.9776306
110-33-10130,Lauras Creek,4829.217016,57.41418457,-133.3559265
103-50-10400-2005, ,614.6010223,55.24604416,-133.2000122
101-11-10890, ,2089.934259,54.81305313,-130.5653534
109-20-10140, ,191.1067506,56.8519783,-134.7399445
112-42-10320,*Rudy Creek,5287.21783,57.73257828,-135.2474213
101-90-10390-2002, ,1215.602043,55.69303131,-131.6265564
113-22-10180-2004, ,476.7439699,56.68128967,-134.8519287
112-45-10360, ,2703.576669,57.83325195,-135.4980469
110-23-10100-2004-3004, ,2005.845317,57.51414108,-134.0876617
108-40-10050,*Wilson Creek,3345.982335,56.77032089,-132.4397888
112-11-10120, ,1341.55766,57.23827744,-134.8899384
113-81-10110-2010, ,689.2260639,57.74197388,-135.959137
114-40-10350,Trail River,6091.013238,58.06435013,-136.1087341
113-44-10050-2013, ,487.4446526,57.11845779,-135.2487488
111-50-10070-2004-3002, ,4813.578074,58.52116013,-134.8073883
101-11-10830,*Hook Creek,1516.144732,54.9308815,-130.4617615
101-51-10250, ,2371.116128,55.26211929,-130.9678192
112-67-10800,*Favorite Creek,1924.773523,57.4607811,-134.500824
113-34-10090,*Fred's Creek,561.6466285,56.71945953,-135.0775604
111-13-10100,Mole River,4668.228061,57.64664841,-134.1020508
105-31-10140, ,1182.900238,56.48776627,-133.8996429
101-30-10300-2017, ,736.38987,55.41344452,-130.3665009
113-45-10080-2002, ,2471.378513,57.12556839,-135.7539368
111-32-10320-2016,Johnson Creek,2451.013102,58.49968338,-133.9263763
113-22-10280, ,57.14995161,56.57848358,-134.9771423
109-62-10130,Alecks Creek,1497.392867,56.50268555,-134.0421448
109-52-10550,Kwatahein Creek,4117.49039,56.59549713,-134.2339783
102-60-10050,Saltery Cove Creek,475.2359705,55.4008255,-132.3158112
109-10-10210, ,123.9376047,56.53827667,-134.7596436
113-53-10030-2001, ,819.2822457,57.41134644,-135.2126617
114-23-10070-2031-3005, ,969.6026298,58.43666458,-135.7935028
105-10-10190,Kathleen Creek,2907.907887,56.31594849,-134.0812988
112-17-10250,"*Florence, Lake Creek",1106.241152,57.80725479,-134.7109985
113-52-10020, ,1380.259766,57.40097046,-135.0266113
101-15-10500-2028,Fish Creek,6080.729818,55.92837524,-130.0058746
103-70-10250, ,719.8776494,55.56447983,-133.3816376
112-50-10260, ,292.0161084,57.9184494,-135.1714478
101-71-10570, ,986.1068084,55.66265869,-130.9664154
113-81-10020, ,891.3969813,57.79736328,-136.2312012
105-32-10150, ,865.9074812,56.81089783,-133.6866302
113-73-10090, ,664.1138189,57.45543671,-135.8155212
106-44-10240,Blind River,3334.210327,56.6133728,-132.8183289
103-60-10710, ,1472.238891,55.37054825,-132.9654999
112-48-10230-2003, ,2041.474978,57.93613815,-135.8256989
113-61-10010, ,943.4317247,57.45449066,-135.9248657
101-71-10040-2006-3003, ,690.3823826,55.83792877,-130.8311005
113-44-10005, ,262.7460434,57.16063309,-135.3783569
109-62-10030, ,1551.019173,56.54265594,-134.1876221
105-10-10210,Joan Creek,1000.142786,56.2852211,-134.0799408
114-73-10190, ,1363.76973,58.61808777,-136.3947296
114-23-10070-2024,*Taylor Creek,160.3539668,58.40962982,-135.7675476
105-20-10040, ,1607.74256,56.36710358,-133.9864502
102-70-10580-2006,Gravelly Creek,3883.056943,55.69814682,-132.5950317
113-41-10180,Cascade Creek,348.8717345,57.07322693,-135.3700104
113-65-10040-2006, ,2113.021779,57.35877609,-135.476532
109-30-10050, ,3002.741519,57.21195221,-134.3115692
113-71-10020, ,775.1459483,57.47369003,-135.962677
113-66-10060-2004, ,2042.381286,57.28403473,-135.5443726
113-51-10120,*Duffield Creek,12073.83168,57.5316658,-135.3225861
105-32-10820, ,3454.680033,56.55787277,-133.9297028
113-42-10020,*O Nerka Creek,2650.495198,57.25849533,-135.4996185
107-20-10200, ,4758.835744,56.02171707,-132.2127228
113-61-10060, ,2442.712969,57.29766083,-135.8386383
112-50-10320,*Bay Head Creek,935.1720706,57.95198441,-135.2229614
111-21-10460,Indian Creek,1053.006784,57.76965714,-133.5406952
103-90-10720,*Tokeen Camp Creek,3031.897896,56.00912094,-133.3750763
110-23-10100,Johnston Creek,10083.47284,57.50770569,-134.1052399
113-57-10020, ,5772.679986,57.64956665,-135.7009735
112-44-10100, ,4575.937529,57.76944351,-135.4434967
109-45-10160, ,913.6941786,56.81733704,-134.3200378
113-95-10070,Steelhead River,3871.192689,57.86509705,-136.1007233
106-30-10150, ,365.3587129,55.99818802,-132.8481293
109-10-10280, ,490.538901,56.63405609,-134.679657
101-23-10790,*Campbell Creek,1308.213751,55.0149231,-131.3979187
101-80-10500-2003, ,1234.325454,55.86484909,-131.9200287
113-44-10030-2020, ,657.6914013,57.14295959,-135.1442261
103-11-10110, ,1732.740858,54.91152954,-132.3262634
113-65-10080, ,1121.258774,57.36722183,-135.5832367
107-20-10010-2005,East Fork Anan Creek,3676.420585,56.17937469,-131.8860779
103-50-10210, ,1726.952447,55.35138321,-133.2279205
113-51-10090, ,2981.893216,57.42266846,-134.9398651
113-54-10070,Rodman Creek,14907.31833,57.43481064,-135.3959961
109-62-10240, ,432.1046409,56.36381531,-134.0692444
112-48-10150-2003, ,2741.923815,57.90882492,-135.7537994
103-60-10270, ,3384.90391,55.63513184,-132.988205
103-15-10360, ,3424.752176,54.94247055,-132.3663635
103-70-10450, ,2053.469274,55.48917007,-133.6333008
